"timestamp, тип 0",78,36456.68813612505,28.229911658837832
"timestamp, тип 1",776,33785.34802433883,57.345429670990136
"timestamp, тип 2",186,77045.3613967705,98.76183445626911
"timestamp, тип 3",634,87471.56355695445,30.467109898723315
"timestamp, тип 4",401,84595.08945066195,34.366773442856996
"timestamp, тип 5",663,85529.03430848128,80.12799263696368
"timestamp, тип 6",313,72772.73807716237,8.497124737568672
"timestamp, тип 7",75,18622.83249300947,15.075287075155927
"timestamp, тип 8",778,54620.403199366694,57.20362046385793
"timestamp, тип 9",870,2846.8742356341118,6.340358246397141
"timestamp, тип 10",441,51555.75236128794,28.881335921863492
"timestamp, тип 11",629,85448.17463742747,18.695064782232944
"timestamp, тип 12",857,31349.849786552215,46.89698066308851
"timestamp, тип 13",212,89851.14859269699,84.01224627464694
"timestamp, тип 14",23,78315.358120845,23.74464828764819
"timestamp, тип 15",704,87406.91150041381,4.312309717602234
"timestamp, тип 16",926,41630.61383202817,55.405365481431346
"timestamp, тип 17",764,79426.18797073943,65.33531145062271
"timestamp, тип 18",245,39257.345570345184,9.82942569949067
"timestamp, тип 19",590,5621.252316091313,83.19794552413127
"timestamp, тип 20",358,346.43656922082863,4.377835445942849
"timestamp, тип 21",175,1143.309118628841,53.62551374116514
"timestamp, тип 22",185,37286.675429849245,67.64510621500135
"timestamp, тип 23",53,88796.24063014048,59.68801463983865
"timestamp, тип 24",601,22667.309672702828,15.173761835603983
"timestamp, тип 25",667,79515.04859740849,82.87447098184145
"timestamp, тип 26",155,55423.20506306152,48.27075421738117
"timestamp, тип 27",386,42304.319710184405,49.22473974728881
"timestamp, тип 28",878,7892.945719650097,33.32887617974568
"timestamp, тип 29",222,93761.14115714193,8.853161512428855
"timestamp, тип 30",848,54425.743265204284,7.192875930133182
"timestamp, тип 31",452,20147.43841555544,18.526989673571524
"timestamp, тип 32",369,62341.09993706556,44.51223602885543
"timestamp, тип 33",947,66155.57617192907,73.80165006515398
"timestamp, тип 34",919,6197.815822291152,69.42945998914351
"timestamp, тип 35",396,47781.455219192154,4.6327427246482795
"timestamp, тип 36",27,82440.57935168904,96.24419880929369
"timestamp, тип 37",727,20020.120245373826,46.72873216106344
"timestamp, тип 38",837,22905.13551578216,6.495031155578744
"timestamp, тип 39",7,60464.73017820478,73.4307800087933
"timestamp, тип 40",50,95657.27069842274,53.759967514027664
"timestamp, тип 41",755,44000.32359459133,84.5299609779097
"timestamp, тип 42",618,4147.695533576941,69.99330341474726
"timestamp, тип 43",218,93431.12211883145,41.87089078037989
"timestamp, тип 44",699,37635.639417156926,27.201715846653364
"timestamp, тип 45",356,7996.709247523258,57.94929458701036
"timestamp, тип 46",152,63423.67588844569,10.032968151799034
"timestamp, тип 47",30,3776.4829299849243,22.94641837039973
"timestamp, тип 48",124,58365.12998226362,84.55526353165145
"timestamp, тип 49",209,33896.038806444005,32.6552468564813
"timestamp, тип 50",488,21139.434463789756,60.10878106878622
"timestamp, тип 51",477,20922.789106923537,70.24382963830273
"timestamp, тип 52",996,57775.535543465405,54.58126498888222
"timestamp, тип 53",690,16242.025422661423,34.20660255827252
"timestamp, тип 54",649,44915.681679063164,98.08022102615718
